Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes de viande légères à la tomate.,15.0,poivre,2.0,0.0579999999999999,27.6,6.6,0.79,0.15,0.266,0.0007199999999999,0.0128
Boulettes de viande légères à la tomate.,15.0,tomates pelee,375.0,0.16875,288.37500000000006,68.625,7.0875,1.05,4.0125,1.05,7.05
Boulettes de viande légères à la tomate.,15.0,viande hachee,175.0,5.25,1338.75,318.5,0.42,14.07,47.6,0.35,0.01925
Boulettes de viande à l'algérienne,38.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.00275,0.06075
Boulettes de viande à l'algérienne,38.0,bifteck hache,100.0,6.65,963.0,231.0,0.0018,15.1,23.8,0.21,0.0
Boulettes de viande à l'algérienne,38.0,bouquet garni,5.0,0.011,,,,0.0635,1.14,0.0234999999999999,
Boulettes de viande à l'algérienne,38.0,carvi,2.0,0.0124,27.6,6.68,0.238,0.292,0.396,0.00086,0.0128
Boulettes de viande à l'algérienne,38.0,concentre de tomate,3.75,0.0034875,15.7125,3.72,0.64125,0.019875,0.165,0.010125,0.49875
Boulettes de viande à l'algérienne,38.0,huile d'olive,7.5,1.14,277.5,67.5,0.0,7.4925,0.0,0.0,0.0
Boulettes de viande à l'algérienne,38.0,menthe,0.25,0.00055,0.6,0.144,0.01325,0.0021,0.0088,0.0001899999999999,0.01325
Boulettes de viande à l'algérienne,38.0,moutarde,3.75,0.0285,23.7,5.7,0.162375,0.42,0.2595,0.23625,0.06225
Boulettes de viande à l'algérienne,38.0,oeuf,13.75,0.411125,79.0625,18.975,0.0976249999999999,1.302125,1.71875,0.0275,0.050875
Boulettes de viande à l'algérienne,38.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Boulettes de viande à l'algérienne,38.0,tomates pelee,62.5,0.028125,48.0625,11.4375,1.18125,0.175,0.66875,0.175,1.175
