Nom recette,Nombre de commentaires,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Boulettes aux épinards (végétarien),9.0,epinards frais,62.5,0.08125,73.125,17.5625,0.0,0.4375,2.1125,0.01875,0.0
Boulettes aux épinards (végétarien),9.0,huile,2.0,0.27,74.0,18.0,0.0,1.9980000000000002,0.0042,0.000196,0.0
Boulettes aux épinards (végétarien),9.0,oeuf,27.5,0.82225,158.125,37.95,0.19524999999999998,2.60425,3.4375,0.055,0.10175000000000001
Boulettes aux épinards (végétarien),9.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Boulettes aux épinards (végétarien),9.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
Boulettes aux épinards (végétarien),9.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
Burger 100% végétarien,2.0,avocat,110.0,4.960999999999999,927.3,225.5,0.9129999999999999,22.66,1.716,0.0165,0.44
Burger 100% végétarien,2.0,carotte,62.5,0.011875,49.25,11.8125,1.625,0.0625,0.34375,0.031875,0.8125
Burger 100% végétarien,2.0,gorgonzola,2.0,0.33799999999999997,25.8,6.24,0.0,0.528,0.37200000000000005,0.0354,0.0
Burger 100% végétarien,2.0,maroille,2.0,0.34600000000000003,29.0,6.98,0.0,0.59,0.41600000000000004,0.0414,
Burger 100% végétarien,2.0,mozzarella,2.0,0.23399999999999999,18.86,4.54,0.015,0.354,0.322,0.012,0.013999999999999999
Burger 100% végétarien,2.0,oignon rouge,50.0,0.0,89.5,21.2,3.775,0.0,0.845,0.0,3.35
Burger 100% végétarien,2.0,pain,120.0,0.444,1404.0,331.2,65.28,1.9320000000000002,10.812000000000001,1.536,3.2880000000000003
Burger 100% végétarien,2.0,paprika,2.0,0.042800000000000005,26.4,6.38,0.382,0.258,0.282,0.0034000000000000002,0.20600000000000002
Burger 100% végétarien,2.0,pesto,2.0,0.08779999999999999,30.6,7.4,0.132,0.708,0.0788,0.0528,0.064
Burger 100% végétarien,2.0,salade,2.0,0.0,1.186,0.28600000000000003,0.0206,0.0,0.0226,0.00046,0.012
Burger 100% végétarien,2.0,tomate,62.5,0.0,52.6875,12.5625,1.89375,0.0,0.3125,0.0,1.625
"Burger végétarien au halloumi, avocat et roquette",2.0,Halloumi,100.0,,,,,,,,
"Burger végétarien au halloumi, avocat et roquette",2.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.0027500000000000003,0.06075
"Burger végétarien au halloumi, avocat et roquette",2.0,avocat,55.0,2.4804999999999997,463.65,112.75,0.45649999999999996,11.33,0.858,0.00825,0.22
"Burger végétarien au halloumi, avocat et roquette",2.0,jus de citron,1.25,0.000325,,,0.0155,0.0028750000000000004,0.003125,0.000325,0.0155
"Burger végétarien au halloumi, avocat et roquette",2.0,oignon rouge,25.0,0.0,44.75,10.6,1.8875,0.0,0.4225,0.0,1.675
"Burger végétarien au halloumi, avocat et roquette",2.0,pains pour hamburger,120.0,1.056,1488.0,351.6,59.64,6.42,11.94,1.3679999999999999,7.056
"Burger végétarien au halloumi, avocat et roquette",2.0,piment d'Espelette,1.25,0.0003875,,,0.09625,0.004,0.023375000000000003,0.00025,0.06625
"Burger végétarien au halloumi, avocat et roquette",2.0,poivre,2.0,0.057999999999999996,27.6,6.6,0.79,0.15,0.266,0.0007199999999999999,0.0128
"Burger végétarien au halloumi, avocat et roquette",2.0,roquette,37.5,0.032249999999999994,,,0.7875,0.2475,0.9675,0.025500000000000002,0.76875
"Burger végétarien au halloumi, avocat et roquette",2.0,sel,2.0,,0.0,0.0,0.0,0.0,0.0,1.61,0.0
"Burger végétarien au halloumi, avocat et roquette",2.0,yaourt a la grecque,100.0,6.22,,,4.21,9.22,3.25,0.09700000000000002,3.9
Burger végétarien aux lentilles,21.0,ail,2.5,0.005,36.5,8.6,1.57,0.01925,0.4175,0.0027500000000000003,0.06075
Burger végétarien aux lentilles,21.0,carotte,31.25,0.0059375,24.625,5.90625,0.8125,0.03125,0.171875,0.0159375,0.40625
Burger végétarien aux lentilles,21.0,chapelure,15.0,0.141,237.0,56.1,10.5,0.5655,1.905,0.273,1.035
Burger végétarien aux lentilles,21.0,comte,15.0,3.375,259.5,62.7,0.0,5.19,4.005,0.12,0.0
Burger végétarien aux lentilles,21.0,concentre de tomate,3.75,0.0034875,15.7125,3.72,0.64125,0.019875,0.165,0.010125000000000002,0.49875
Burger végétarien aux lentilles,21.0,cumin,1.25,0.01925,22.25,5.3375,0.42125,0.27875,0.2225,0.00525,0.028125
Burger végétarien aux lentilles,21.0,huile d'olive,7.5,1.14,277.5,67.5,0.0,7.4925,0.0,0.0,0.0
Burger végétarien aux lentilles,21.0,ketchup,7.5,0.005175000000000001,31.5,7.425,1.605,0.01425,0.09525,0.19424999999999998,1.56
Burger végétarien aux lentilles,21.0,lentilles verte,62.5,0.15,,,27.8125,1.125,15.6875,0.0,0.6875
Burger végétarien aux lentilles,21.0,mayonnaise,7.5,0.54525,,,0.1965,5.64,0.10200000000000001,0.10425,0.07725
Burger végétarien aux lentilles,21.0,oeuf,13.75,0.411125,79.0625,18.975,0.09762499999999999,1.302125,1.71875,0.0275,0.050875000000000004
Burger végétarien aux lentilles,21.0,oignon,25.0,0.0,42.25,10.05,1.6825,0.0,0.39,0.0,1.25
Burger végétarien aux lentilles,21.0,pains pour hamburger,120.0,1.056,1488.0,351.6,59.64,6.42,11.94,1.3679999999999999,7.056
Burger végétarien aux lentilles,21.0,poivre,1.25,0.03625,17.25,4.125,0.49375,0.09375,0.16625,0.00045,0.008
Burger végétarien aux lentilles,21.0,salade,2.0,0.0,1.186,0.28600000000000003,0.0206,0.0,0.0226,0.00046,0.012
Burger végétarien aux lentilles,21.0,sel,1.25,,0.0,0.0,0.0,0.0,0.0,1.00625,0.0
