Nom recette,Ingrédient,Quantité,AG saturés (g),"Energie, Règlement UE N° 1169/2011 (kJ)","Energie, Règlement UE N° 1169/2011 (kcal)",Glucides (g),Lipides (g),Protéines (g),Sel chlorure de sodium (g),Sucres (g)
Tourte de Noël végétarienne de Coralie,epinard,25.0,0.0325,29.25,7.025,0.0,0.175,5.28125,0.0075,0.0
Tourte de Noël végétarienne de Coralie,gingembre,0.5,0.013000000000000001,7.05,1.675,0.2915,0.0212,0.280625,0.00034,0.01695
Tourte de Noël végétarienne de Coralie,huile d'olive,3.0,0.45599999999999996,111.0,27.0,0.0,2.9970000000000003,0.0,0.0,0.0
Tourte de Noël végétarienne de Coralie,madere,12.0,0.132,,,0.43200000000000005,0.264,0.44999999999999996,0.132,0.22799999999999998
Tourte de Noël végétarienne de Coralie,marron,40.0,0.0,548.0,129.6,31.8,0.0,2.3499999999999996,0.032,22.64
Tourte de Noël végétarienne de Coralie,miel,3.0,0.0,,,2.451,0.0,0.10500000000000001,0.0003,2.3939999999999997
Tourte de Noël végétarienne de Coralie,oeuf,5.5,0.16445,31.625,7.59,0.03905,0.52085,4.296875,0.011000000000000001,0.02035
Tourte de Noël végétarienne de Coralie,pate feuilletee,40.0,6.36,888.0,212.4,21.64,12.4,19.7,0.628,0.12
Tourte de Noël végétarienne de Coralie,sucre en poudre,0.5,0.0655,12.1,2.91,0.01555,0.21,1.496875,0.00625,0.0015
Tourte de Noël végétarienne de Coralie,thym,0.5,0.0023499999999999997,2.23,0.535,0.0525,0.0084,0.17375,0.000115,
Tourte de Noël végétarienne de Coralie,tomate,12.5,0.0,10.5375,2.5125,0.37875,0.0,0.390625,0.0,0.325
Tourte de Noël végétarienne de Coralie,vinaigre balsamique,3.0,0.0,15.93,3.75,0.774,0.0,0.129375,0.00204,0.5730000000000001
